Time,evapo temperature,evapo relative humidity,compressor power
0.000000000000000000e+00,1.549933787302919974e+01,4.743747118518530215e+01,4.524860322555239804e+02
2.500000000000009992e-01,1.604900973475000114e+01,4.760945892536369684e+01,5.932907030667320214e+02
5.000000000000009992e-01,1.655782852967960039e+01,4.597115730408120271e+01,6.438684077013880369e+02
7.500000000000019984e-01,1.705040108912089991e+01,4.375003926412490074e+01,6.516313707169759937e+02
1.000000000000000000e+00,1.749988667577060042e+01,4.142710456671790098e+01,6.298897094951109921e+02
1.250000000000000000e+00,1.791714269825940065e+01,3.922186723839600120e+01,6.029365546000980203e+02
1.500000000000000000e+00,1.839469585718530098e+01,3.729323647636670103e+01,5.763929874399540267e+02
1.750000000000000000e+00,1.875776853830020130e+01,3.573231529954440333e+01,5.524869666540920434e+02
2.000000000000000000e+00,1.902218705468380122e+01,3.451998896336999678e+01,5.326700583458590472e+02
2.250000000000000000e+00,1.920443921519060027e+01,3.365004973956180123e+01,5.193502297827830034e+02
2.500000000000000000e+00,1.931271613771709994e+01,3.314117608803900339e+01,5.146356115115720513e+02
2.750000000000010214e+00,1.936830513894389938e+01,3.281936043233469746e+01,5.131422139951789632e+02
3.000000000000010214e+00,1.938789463711849947e+01,3.262339388046429889e+01,5.142916636832310360e+02
3.250000000000010214e+00,1.937987085768639872e+01,3.252634355896090312e+01,5.171757357534720541e+02
3.500000000000010214e+00,1.934948634476490170e+01,3.251276213152190309e+01,5.209474281623530487e+02
3.750000000000010214e+00,1.930260022337810000e+01,3.256256268516939656e+01,5.250857066499900156e+02
4.000000000000009770e+00,1.924365743723900124e+01,3.266010850090309958e+01,5.291973864795819509e+02
4.250000000000009770e+00,1.917601515734880024e+01,3.279317869884179970e+01,5.330036465475980094e+02
4.500000000000009770e+00,1.910220232580089927e+01,3.295220565180610350e+01,5.363229387554099503e+02
4.750000000000009770e+00,1.902412261586480113e+01,3.312970277200179936e+01,5.390528803213950368e+02
5.000000000000009770e+00,1.894321091558050085e+01,3.331982729333989823e+01,5.411527953097380532e+02
5.250000000000009770e+00,1.886055250260789862e+01,3.351804041021880209e+01,5.426278921754719704e+02
5.500000000000009770e+00,1.877697282028639947e+01,3.372083911936780254e+01,5.435155804638260406e+02
5.750000000000009770e+00,1.869310444796889925e+01,3.392554214340349716e+01,5.438740984811159933e+02
6.000000000000020428e+00,1.860943662175059998e+01,3.413011765900250083e+01,5.437734073010630027e+02
6.250000000000020428e+00,1.852635156966449870e+01,3.433304409032089666e+01,5.432881743203939777e+02
6.500000000000020428e+00,1.844418691336990079e+01,3.453343578762159893e+01,5.424937518585819589e+02
6.750000000000020428e+00,1.836326938264199882e+01,3.473084884217289670e+01,5.414653441031839520e+02
7.000000000000020428e+00,1.828385018536230078e+01,3.492454758230280021e+01,5.402740872245260562e+02
7.250000000000020428e+00,1.820613491643819870e+01,3.511396848189090036e+01,5.389808659575610363e+02
7.500000000000020428e+00,1.813019895050469898e+01,3.528110148768009680e+01,5.374219044440229709e+02
7.750000000000020428e+00,1.805626775421439945e+01,3.544297046319410072e+01,5.358499590182640304e+02
8.000000000000019540e+00,1.798543810545420030e+01,3.559501307630740286e+01,5.344193814129660041e+02
8.250000000000019540e+00,1.792092066600299916e+01,3.572178103501150304e+01,5.334424465732799945e+02
8.500000000000019540e+00,1.786326525026899859e+01,3.582309019917850179e+01,5.327357627876129982e+02
8.750000000000019540e+00,1.781255144545000135e+01,3.589981318947359767e+01,5.321700177308520097e+02
9.000000000000019540e+00,1.776860840873640157e+01,3.595330221316670105e+01,5.316572615250789795e+02
9.250000000000019540e+00,1.773112233101640101e+01,3.598513885618130104e+01,5.311411216334389565e+02
9.500000000000019540e+00,1.769970412001309867e+01,3.599699249910509735e+01,5.305888462018820064e+02
9.750000000000019540e+00,1.767393179488560051e+01,3.599054038083740181e+01,5.299848825347289676e+02
1.000000000000000000e+01,1.765113739586299957e+01,3.596465974358270046e+01,5.286266942909049931e+02
1.025000000000000000e+01,1.762676834105970158e+01,3.591772903361579949e+01,5.256772614946249860e+02
1.050000000000000000e+01,1.759972161168260030e+01,3.585813826658110059e+01,5.214563678713629997e+02
1.075000000000000000e+01,1.757013590196340047e+01,3.579154580380850348e+01,5.173339292038830308e+02
1.100000000000000000e+01,1.753607460239840066e+01,3.572609375430550216e+01,5.125068007360470119e+02
1.125000000000000000e+01,1.749732979880479888e+01,3.566585664696999913e+01,5.072964841110190264e+02
